Term	TermType	English	Turkish	Dutch	German	French	Italian	Portuguese	Spanish	Russian	Japanese	Korean
MagicBottleCongratsPopupInfo	0	You activated Magic Bottle!	Sihirli Şişeyi etkinleştirdin!	Je hebt de Magische Fles geactiveerd!	Du hast die Zauberflasche aktiviert!	Vous avez activé la Bouteille Magique !	Hai attivato la Bottiglia Magica!	Você ativou a Garrafa Mágica!	¡Has activado la Botella Mágica!	Вы активировали Волшебную Бутылку!	マジックボトルを起動しました！	매직 보틀이 활성화되었습니다!
MagicBottleInfoPopupStep1	0	Beat <color=#FFC20F>{0} Levels</color>	<color=#FFC20F>{0} Seviyeyi</color> Geç	Behaal <color=#FFC20F>{0} niveaus</color>	Schlage <color=#FFC20F>{0} Level</color>	Terminez <color=#FFC20F>{0} niveaux</color>	Completa <color=#FFC20F>{0} livelli</color>	Complete <color=#FFC20F>{0} Níveis</color>	Completa <color=#FFC20F>{0} niveles</color>	Пройдите <color=#FFC20F>{0} уровня</color>	<color=#FFC20F>{0} レベル</color>をクリアしよう	<color=#FFC20F>{0} 레벨</color> 완료
MagicBottleInfoPopupStep2	0	<color=#FFC20F>Activate</color> your Magic Bottle	Sihirli Şişenizi <color=#FFC20F>Aktive Edin</color>	<color=#FFC20F>Activeer</color> je Magische Fles	<color=#FFC20F>Aktiviere</color> deine Zauberflasche	<color=#FFC20F>Activez</color> votre Bouteille Magique	<color=#FFC20F>Attiva</color> la tua Bottiglia Magica	<color=#FFC20F>Ative</color> sua Garrafa Mágica	<color=#FFC20F>Activa</color> tu Botella Mágica	<color=#FFC20F>Активируйте</color> вашу Волшебную Бутылку	<color=#FFC20F>魔法のボトルを有効化</color>してください	<color=#FFC20F>마법 병을 활성화</color>하세요
MagicBottleInfoPopupStep3	0	Earn <color=#FFC20F>extra bottle</color> for each level	Her seviye için <color=#FFC20F>ekstra şişe</color> kazanın.	Verdien <color=#FFC20F>extra fles</color> voor elk niveau	Erhalte <color=#FFC20F>zusätzliche Flaschen</color> für jedes Level.	Gagnez une <color=#FFC20F>bouteille supplémentaire</color> pour chaque niveau.	Ottieni <color=#FFC20F>una bottiglia extra</color> per ogni livello.	Ganhe uma <color=#FFC20F>garrafa extra</color> a cada nível.	Gana una <color=#FFC20F>botella extra</color> por cada nivel	Получите <color=#FFC20F>дополнительную бутылочку</color> за каждый уровень	各レベルで<color=#FFC20F>追加のボトル</color>を獲得	각 레벨마다 <color=#FFC20F>추가 병</color>을 획득하세요.
MagicBottleInfoPopupWarning	0	Magic Bottle will be active until you fail!	Sihirli Şişe başarısız olana kadar aktif kalacak!	Magische Fles blijft actief totdat je faalt!	Die magische Flasche bleibt aktiv, bis du scheiterst!	Bouteille magique sera active jusqu'à ce que vous échouiez !	La Bottiglia Magica resterà attiva fino a quando non fallisci!	A Garrafa Mágica ficará ativa até você falhar!	¡La Botella Mágica estará activa hasta que falles!	Магический пузырек будет активен, пока вы не проиграете!	マジックボトルは、失敗するまで有効です！	마법 병은 실패할 때까지 활성화됩니다!
MagicBottlePopupInfo	0	Beat {0} levels to activate the Magic Bottle!	{0} seviyeyi geçerek Sihirli Şişe'yi etkinleştir!	Voltooi {0} levels om de magische fles te activeren!	Schließe {0} Level ab, um die Zauberflasche zu aktivieren!	Terminez {0} niveaux pour activer la Bouteille Magique !	Supera {0} livelli per attivare la Bottiglia Magica!	Complete {0} níveis para ativar a Garrafa Mágica!	¡Supera {0} niveles para activar la Botella Mágica!	Пройдите {0} уровней, чтобы активировать Волшебную Бутылку!	{0}レベルをクリアして、マジックボトルを発動させよう！	{0}개의 레벨을 완료하여 매직 보틀을 활성화하세요!
MagicBottlePopupInfoWin	0	Congrats! You activated Magic Bottle!	Tebrikler! Sihirli Şişeyi aktifleştirdiniz!	Gefeliciteerd! Je hebt de Magische Fles geactiveerd!	Herzlichen Glückwunsch! Du hast die magische Flasche aktiviert!	Félicitations ! Vous avez activé la Bouteille Magique !	Complimenti! Hai attivato la Bottiglia Magica!	Parabéns! Você ativou a Garrafa Mágica!	¡Felicidades! ¡Has activado la Botella Mágica!	Поздравляем! Вы активировали Волшебную Бутылку!	おめでとうございます！マジックボトルが起動しました！	축하합니다! 마법 병이 활성화되었습니다!
MagicBottleTitle	0	Magic Bottle	Sihirli Şişe	Magische Fles	Magische Flasche	Bouteille Magique	Bottiglia Magica	Garrafa Mágica	Botella Mágica	Волшебная бутылка	マジックボトル	매직 보틀
MagicBottleTitle!	0	Magic Bottle!	Sihirli Şişe!	Magische Fles!	Magische Flasche!	Bouteille Magique !	Bottiglia Magica!	Garrafa Mágica!	¡Botella Mágica!	Магический Бутылек!	マジックボトル！	매직 보틀!
MagicLabBroomStreakStepReachTaskDescription	0	Rise step {0} in Broom Streak!	Süpürge Serisi'nde adım {0} yükselin!	Stijg naar stap {0} in de Bezem Reeks!	Steig Stufe {0} in der Besen Serie auf!	Montez d’un niveau {0} dans la Balai Série !	Salta al passo {0} nella Broom Serie!	Suba ao passo {0} na Vassoura Streak!	¡Sube al paso {0} en la Escombrar Racha!	Пройдите шаг {0} в серии "Супергеройская метла"!	Broom Streakでステップ{0}に到達しよう！	빗자루 시리즈에서 단계 {0}에 도달하세요!
MagicLabCompleteQuestsAlert	0	Complete all quests to mix your bottles in the magic cauldron!	Tüm görevleri tamamlayarak şişelerinizi sihirli kazanda karıştırın!	Voltooi alle missies om je flessen in de magische ketel te mengen!	Schließe alle Quests ab, um deine Flaschen im magischen Kessel zu mischen!	Terminez toutes les quêtes pour mélanger vos bouteilles dans le chaudron magique !	Completa tutte le missioni per mescolare le tue bottiglie nel calderone magico!	Complete todas as missões para misturar suas garrafas no caldeirão mágico!	¡Completa todas las misiones para mezclar tus botellas en el caldero mágico!	Завершите все задания, чтобы смешать ваши бутылки в волшебном котле!	すべてのクエストを完了して、魔法の大釜でボトルをミックスしましょう！	모든 퀘스트를 완료하여 마법 가마솥에서 병들을 섞어보세요!
MagicLabDuckFestivalWinTaskDescription	0	Collect {0} Ducks!	{0} Ördek topla!	Verzamel {0} eenden!	Sammle {0} Enten!	Collecte {0} Canards !	Raccogli {0} paperelle!	Colecione {0} Patos!	¡Recoge {0} Patos!	Собери {0} уток!	{0}匹のアヒルを集めよう！	{0} 마리의 오리를 모으세요!
MagicLabEarnCoinsTaskDescription	0	Earn {0} coins!	{0} para kazan!	Verdien {0} munten!	Verdiene {0} Münzen!	Gagnez {0} pièces !	Guadagna {0} monete!	Ganhe {0} moedas!	¡Gana {0} monedas!	Заработайте {0} монет!	{0}コインを獲得しよう！	{0}개의 코인을 모으세요!
MagicLabFirstTryWinTaskDescription	0	Win {0} level on First Try!	{0} seviyeyi İlk Denemede geç!	Win {0} level bij de eerste poging!	Gewinne {0} Level beim ersten Versuch!	Gagnez le niveau {0} du premier coup !	Vinci il livello {0} al primo tentativo!	Vença {0} nível na primeira tentativa!	¡Gana el nivel {0} en el Primer Intento!	Выиграйте уровень {0} с первой попытки!	{0}レベルを一発クリアせよ！	{0} 레벨을 첫 시도에 클리어하세요!
MagicLabFirstTryWinTaskDescriptionPlural	0	Win {0} levels on First Try!	{0} seviyeyi İlk Denemede geç!	Win {0} levels bij de eerste poging!	Gewinne {0} Level beim ersten Versuch!	Gagnez {0} niveaux du premier coup !	Vinci {0} livelli al primo tentativo!	Vença {0} níveis na Primeira Tentativa!	¡Gana {0} niveles al primer intento!	Выиграйте {0} уровней с первой попытки!	{0} レベルを一度でクリアしよう！	첫 시도에서 {0} 레벨을 완수하세요!
MagicLabGetUniqueCardsTaskDescription	0	Collect {0} cards!	{0} kart topla!	Verzamel {0} kaarten!	Sammle {0} Karten!	Collectez {0} cartes !	Raccogli {0} carte!	Colete {0} cartas!	¡Recoge {0} cartas!	Соберите {0} карты!	{0}枚のカードを集めよう！	카드 {0}장을 모으세요!
MagicLabInfoPopup1	0	<color=#FFC210>Complete</color> all quests in the stages!	<color=#FFC210>Tüm görevleri</color> aşamalarda tamamla!	<color=#FFC210>Voltooi</color> alle quests in de levels!	<color=#FFC210>Komplettiere</color> alle Quests in den Stufen!	<color=#FFC210>Complétez</color> toutes les quêtes dans les niveaux !	<color=#FFC210>Completa</color> tutte le missioni nei livelli!	<color=#FFC210>Complete</color> todas as missões nas fases!	<color=#FFC210>Completa</color> todas las misiones en los niveles.	<color=#FFC210>Завершите</color> все задания на этапах!	<color=#FFC210>すべてのステージのクエストを完了してください！</color>	<color=#FFC210>모든</color> 스테이지의 퀘스트를 완료하세요!
MagicLabInfoPopup2	0	<color=#FFC210>Collect</color> magic bottles!	<color=#FFC210>Sihirli şişeleri</color> topla!	<color=#FFC210>Verzamel</color> Magische Fles!	<color=#FFC210>Sammle</color> Magische Flasche!	<color=#FFC210>Collectez</color> des Bouteille Magique !	<color=#FFC210>Raccogli</color> le Bottiglia Magica!	<color=#FFC210>Colete</color> Garrafa Mágica!	<color=#FFC210>¡Colecciona</color> Botella Mágica!	<color=#FFC210>Собирайте</color> си́хирли шише!	<color=#FFC210>魔法のボトルを集めよう！</color>	<color=#FFC210>수집하세요</color> 마법의 병을!
MagicLabInfoPopup3	0	Mix your bottles in the <color=#FFC210>magic cauldron!</color>	Şişelerinizi <color=#FFC210>sihirli kazanda</color> karıştırın!	Meng je flessen in de <color=#FFC210>sprookjesketel!</color>	Mische deine Flaschen im <color=#FFC210>Zauberkessel!</color>	Mélangez vos bouteilles dans le <color=#FFC210>chaudron magique!</color>	Mescola le tue bottiglie nel <color=#FFC210>calderone magico!</color>	Misture suas garrafas no <color=#FFC210>caldeirão mágico!</color>	¡Mezcla tus botellas en el <color=#FFC210>caldero mágico!</color>	Смешайте ваши бутылки в <color=#FFC210>волшебном котле!</color>	ボトルを<color=#FFC210>魔法の大釜</color>で混ぜよう！	<color=#FFC210>마법 가마솥</color>에 병을 섞어보세요!
MagicLabInfoPopup4	0	Win amazing rewards!	Harika ödüller kazanın!	Win geweldige beloningen!	Gewinne tolle Belohnungen!	Gagnez des récompenses incroyables !	Vinci premi straordinari!	Ganhe recompensas incríveis!	¡Gana increíbles recompensas!	Выигрывайте невероятные награды!	素晴らしい報酬を獲得しよう！	놀라운 보상을 획득하세요!
MagicLabJetpackRaceWinTaskDescription	0	Win {0} Jetpack Race!	{0} Jetpack Yarışı kazanın!	Win {0} Jetpack Wedstrijd!	Gewinne {0} Jetpack-Rennen!	Gagnez {0} Course de Jetpack !	Vinci {0} Gara di Jetpack!	Vença {0} Corrida de Jetpack!	¡Gana {0} Carrera de Jetpack!	Победите в {0} Гонка на джетпаке!	{0}回のジェットパックレースに勝利しよう！	제트팩 레이스에서 {0}승을 거두세요!
MagicLabJetpackRaceWinTaskDescriptionPlural	0	Win {0} Jetpack Races!	{0} Jetpack Yarışı kazanın!	Win {0} Jetpack Races!	Gewinne {0} Jetpack Rennen!	Gagnez {0} Jetpack Courses !	Vinci {0} Jetpack Gare!	Ganhe {0} Jetpack Corridas!	¡Gana {0} Jetpack Carreras!	Выиграйте {0} Jetpack Yarışları!	{0}回、Jetpack Yarışıで勝利しよう！	{0}번의 Jetpack Yarışı에서 승리하세요!
MagicLabMagicStreakStepReachTaskDescription	0	Reach step {0} in Magic Streak!	Sihirli Seride adım {0}'e ulaş!	Bereik stap {0} in de Magische Reeks!	Erreiche Stufe {0} in der Magische Serie!	Atteignez l’étape {0} dans la Série Magique !	Raggiungi il passo {0} in Serie Magica!	Alcance o passo {0} na Série Mágica!	¡Alcanza el paso {0} en la Racha Mágica!	Достигните шага {0} в Сихирли Серии!	マジック・ストリークでステップ {0} に到達しよう！	매직 스트릭에서 단계 {0}에 도달하세요!
MagicLabMinigameCompleteStageTaskDescription	0	Complete {0} stage!	{0} aşama tamamla!	Voltooi {0} ronde!	Schließe {0} Stufe ab!	Terminez {0} niveau !	Completa {0} livello!	Complete {0} fase!	¡Completa {0} etapa!	Завершите {0} этап!	{0}ステージをクリアしよう！	{0}단계를 완료하세요!
MagicLabMinigameCompleteStageTaskDescriptionPlural	0	Complete {0} stages!	{0} aşama tamamla!	Voltooi fase {0}!	Schließe die Stufe {0} ab!	Termine le niveau {0} !	Completa il livello {0}!	Complete o estágio {0}!	¡Completa la etapa {0}!	Завершите этап {0}!	ステージ{0}をクリアしよう！	스테이지 {0}를 완성하세요!
MagicLabMinigameCompleteStageToolbarTaskDescription	0	Complete {0} stage in  Underwater Treasures!	Su Altı Hazineleri'nde {0} aşama tamamla!	Voltooi {0} level in Onderwater Schatten!	Schließe {0} Stufe in Unterwasser-Schätze ab!	Terminez {0} niveau dans Underwater Treasures !	Completa {0} livello in Underwater Treasures!	Complete {0} etapa em Tesouros Submarinos!	¡Completa {0} etapa en Tesoros Submarinos!	Завершите {0} этап в Подводных Сокровищах!	「Underwater Treasures」でステージを1つクリアしよう！	Underwater Treasures에서 1단계를 완료하세요!
MagicLabMinigameCompleteStageToolbarTaskDescriptionPlural	0	Complete {0} stages in Underwater Treasures!	Su Altı Hazineleri'nde {0} aşama tamamla!	Voltooi fase {0} in Onderwater Schatten!	Absolviere Stufe {0} in Unterwasser-Schätze!	Terminez l'étape {0} dans Trésors Sous-marins !	Completa il livello {0} in Tesori Sottomarini!	Complete a fase {0} em Tesouros Subaquáticos!	¡Completa la etapa {0} en Tesoros Submarinos!	Пройдите этап {0} в Подводных Сокровищах!	水中の財宝でステージ {0} をクリアしよう！	"Underwater Treasures"의 {0} 스테이지를 완료하세요!
MagicLabSuperHardLevelTaskDescription	0	Win 1 Superhard Level!	{0} Süper Zor Seviye kazanın!	Win {0} Superharde Level!	Gewinne {0} Superhartes Level!	Gagnez {0} niveau super difficile !	Vinci {0} Livello super difficile!	Vença {0} Nível Superdifícil!	¡Gana {0} Nivel Súper Difícil!	Выиграй {0} Суперсложный уровень!	{0}スーパー・ハード・レベルをクリアしよう！	{0} 슈퍼하드 레벨에서 승리하세요!
MagicLabSuperHardLevelTaskDescriptionPlural	0	Win {0} Superhard Levels!	{0} Süper Zor Seviye kazanın!	Win {0} Superharde Levels!	Gewinne {0} Super-Hard-Levels!	Gagnez {0} Superhard Levels !	Vinci {0} Superhard Levels!	Vença {0} Níveis Superdifíceis!	¡Gana {0} Niveles Súper Difíciles!	Выиграйте {0} сверхсложных уровней!	{0}個のスーパーハードレベルに勝利せよ！	{0}개의 슈퍼 하드 레벨을 승리하세요!
MagicLabTitle	0	Magic Lab	Sihir Laboratuvarı	Magisch Laboratorium	Magic-Laboratorium	Laboratoire magique	Laboratorio Magico	Laboratório Mágico	Laboratorio Mágico	Магическая лаборатория	マジックラボ	매직 랩
MagicLabWheelOfFortuneReachTaskDescription	0	Reach step {0} in Wheel Of Fortune!	Şans Çarkında {0}. adıma ulaş!	Bereik stap {0} in het Rad van Fortuin!	Erreiche Schritt {0} im Glücksrad!	Atteignez l'étape {0} dans la Roue de la Fortune !	Raggiungi il passo {0} nella Ruota della Fortuna!	Alcance o passo {0} na Roda da Fortuna!	¡Alcanza el paso {0} en la Rueda de la Fortuna!	Достигните шага {0} в колесе фортуны!	ホイール・オブ・フォーチュンでステップ {0} に到達しよう！	Wheel Of Fortune에서 {0}단계에 도달하세요!
MagicPass	0	Magic Pass	Sihirli Bilet	Magic Pass	Magischer Pass	Pass Magique	Pass Magico	Passe Mágico	Pase Mágico	Волшебный Пропуск	マジックパス	매직패스
MagicPassActivationInfo	0	Your <color=#FFC20F>Magic Pass</color> is active now!	<color=#FFC20F>Sihirli Bilet</color> şimdi aktif!	Je <color=#FFC20F>Magic Pass</color> is nu actief!	Ihr <color=#FFC20F>Magic Pass</color> ist jetzt aktiv!	Votre <color=#FFC20F>Magic Pass</color> est maintenant actif !	Il tuo <color=#FFC20F>Magic Pass</color> è ora attivo!	O seu <color=#FFC20F>Passe Mágico</color> está ativo agora!	¡Tu <color=#FFC20F>Pase Mágico</color> está activo ahora!	Ваш <color=#FFC20F>Magic Pass</color> теперь активен!	あなたの<color=#FFC20F>マジックパス</color>が今アクティブになりました！	<color=#FFC20F>매직 패스</color>가 활성화되었습니다!
MagicPassActivationLives	0	8 Lives!	8 Can!	8 Levens!	8 Leben!	8 Vies !	8 Vite!	8 Vidas!	¡8 Vidas!	8 жизней!	8 ライフ！	8 목숨!
MagicPassActivationName	0	Special name\n& frame!	Özel ad\n& çerçeve!	Bijzondere naam &\nlijst!	Spezialname\n& Rahmen!	Nom spécial\n& cadre !	Nome speciale\n& cornice!	Nome especial\n& moldura!	Nombre especial\n¡y marco!	Специальное имя &\nрамка!	特別な名前＆\nフレーム！	특별한 이름 & \n프레임!
MagicPassActivationTeamGifts	0	Team gifts!	Takım hediyeleri!	Teamgeschenken!	Team-Geschenke!	Cadeaux d'équipe !	Regali di squadra!	Presentes de equipe!	¡Regalos para el equipo!	Подарки для команды!	チームギフト！	팀 선물!
MagicPassBonusVault	0	Bonus Vault!	Bonus Kasası!	Bonus Kluis!	Bonus-Tresor!	Coffre-fort Bonus !	Cassaforte dei Bonus!	Cofre de Bônus!	¡Bóveda de Bonos!	Бонусный хранилище!	ボーナス金庫！	보너스 금고!
MagicPassBonusVaultInfoFull	0	The <color=#D94901>Bonus Vault</color> is full!\nYou can claim the bonus coins\nwhen the event ends!	<color=#D94901>Bonus Kasası</color> doldu!\nEtkinlik bittiğinde bonus paraları alabilirsin!	De <color=#D94901>Bonus Kluis</color> is vol!  \nJe kunt de bonusmunten opeisen wanneer het evenement eindigt!	Der <color=#D94901>Bonus-Tresor</color> ist voll! \nDu kannst die Bonusmünzen einfordern,\nwenn das Event endet!	Le <color=#D94901>Coffre à Bonus</color> est plein !\nVous pourrez récupérer les pièces bonus\nlorsque l'événement se termine !	Il <color=#D94901>Caveau Bonus</color> è pieno!  \nPuoi riscattare le monete bonus  \nquando l'evento termina!	O <color=#D94901>Bonus Vault</color> está cheio!\nVocê pode reivindicar as moedas bônus\nquando o evento terminar!	¡La <color=#D94901>Cámara de Bonificación</color> está llena!  \nPuedes reclamar las monedas de bonificación  \ncuando termine el evento.	<color=#D94901>Бонусный Сейф</color> полон!  \nВы сможете получить бонусные монеты,  \nкогда мероприятие закончится!	<color=#D94901>ボーナスボルト</color>はいっぱいです！\nイベント終了時にボーナスコインを\n受け取ることができます！	<color=#D94901>보너스 금고</color>가 가득 찼습니다!  \n이벤트가 끝날 때 보너스 코인을 받을 수 있습니다!
MagicPassBonusVaultInfoInProgress	0	Claim the <color=#D94901>Bonus Vault</color>\ncoins when the event ends!	Etkinlik sona erdiğinde\n<color=#D94901>Bonus Kasası</color> jetonlarını al!	Verkrijg de <color=#D94901>Bonuskluis</color>\nmunten wanneer het evenement eindigt!	Fordere die Münzen im <color=#D94901>Bonus-Tresor</color> \nein, wenn das Ereignis endet!	Réclamez les pièces du <color=#D94901>Coffre-fort Bonus</color> \nà la fin de l'événement !	Riscatta le monete del <color=#D94901>Forziere \nBonus</color> quando l'evento termina!	Resgate as moedas do <color=#D94901>Cofre de Bônus</color> \nquando o evento terminar!	¡Reclama las monedas del <color=#D94901>Bonus Vault</color>\ncuando termine el evento!	Получите монеты из <color=#D94901>Бонусного Хранилища</color>\nкогда событие завершится!	イベント終了時に<color=#D94901>ボーナス金庫</color>\nのコインを受け取りましょう！	이벤트가 종료되면 <color=#D94901>보너스 금고</color>\n코인을 받으세요!
MagicPassBonusVaultInfoLocked	0	Activate the Magic Pass to\nunlock the <color=#D94901>Bonus Vault</color> at the\nend of the stages!	Sihirli Bileti etkinleştirerek aşamaların\nsonunda<color=#D94901>Bonus Kasası</color>'nı aç!	Activeer de Magic Pass om de\n<color=#D94901>Bonuskluis</color> aan het einde van de \nevels te ontgrendelen!	Aktiviere den Magic Pass, um\nden <color=#D94901>Bonus-Tresor</color> am Ende der\nLevel freizuschalten!	Activez le Magic Pass pour\ndébloquer le <color=#D94901>Coffre Bonus</color> à la\nfin des niveaux !	Attiva il Magic Pass per\nsbloccare il <color=#D94901>Bonus Vault</color> alla\nfine dei livelli!	Ative o Passe Mágico para desbloquear\no <color=#D94901>Cofre de Bônus</color> ao final das fases!	Activa el Pase Mágico para\ndesbloquear la <color=#D94901>Bóveda de Bonificación</color> al\nfinal de las etapas.	Активируйте Magic Pass, \nчтобы разблокировать <color=#D94901>Бонусный Сейф</color>\nв конце уровней!	マジックパスを有効にして、\nステージの最後で<color=#D94901>ボーナス保管庫</color>\nをアンロックしましょう！	매직 패스를 활성화하여 스테이지가 끝날 때\n<color=#D94901>보너스 금고</color>를 잠금 해제하세요!
MagicPassBuyPopupInfo	0	Receive special upgrades\nduring the event!	Etkinlik sırasında özel\nyükseltmeler al!	Ontvang speciale upgrades\ntijdens het evenement!	Erhalte spezielle Upgrades\nwährend des Events!	Recevez des améliorations \nspéciales pendant l'événement !	Ricevi potenziamenti speciali\ndurante l'evento!	Receba melhorias especiais\ndurante o evento!	Recibe mejoras especiales\ndurante el evento.	Получите специальные улучшения\nво время события!	イベント期間中に特別なアップグレ\nードを受け取ろう！	이벤트 기간 동안 특별 업그레이드를 받으세요!
MagicPassBuyPopupInfoFrame	0	Special frame and name!	Özel çerçeve ve isim!	Bijzond​er frame en naam!	Besonderer Rahmen und Name!	Cadre et nom spéciaux !	Cornice e nome speciali!	Quadro e nome especial!	Marco y nombre especial.	Специальная рамка и имя!	特別なフレームと名前！	특별한 프레임과 이름!
MagicPassBuyPopupInfoGift	0	Gift for your teammates!	Takım arkadaşlarına hediye!	Cadeau voor je teamgenoten!	Geschenk für deine Teamkollegen!	Cadeau pour vos coéquipiers !	Regalo per i tuoi compagni di squadra!	Presente para seus companheiros de equipe!	¡Regalo para tus compañeros de equipo!	Подарок для ваших товарищей по команде!	チームメイトへのギフト！	팀원에게 줄 선물!
MagicPassBuyPopupInfoLives	0	8 lives instead of 5!	5 yerine 8 can!	8 levens in plaats van 5!	8 Leben statt 5!	8 vies au lieu de 5 !	8 vite invece di 5!	8 vidas em vez de 5!	¡8 vidas en lugar de 5!	8 жизней вместо 5!	ライフが5つではなく8つになります！	5 대신 8 생명!
MagicPassBuySuccessPopupInfo1	0	You got the Magic Pass!	Sihirli Bileti aldınız!	Je hebt de Magic Pass!	Du hast den Magic Pass erhalten!	Vous avez obtenu le Magic Pass !	Hai ottenuto il Magic Pass!	Você conseguiu o Passe Mágico!	¡Has obtenido el Magic Pass!	Вы получили Magic Pass!	マジックパスを手に入れました！	매직 패스를 얻었습니다!
MagicPassBuySuccessPopupInfo2	0	Enjoy your special rewards!	Özel ödüllerinizin tadını çıkarın!	Geniet van je speciale beloningen!	Genieße deine speziellen Belohnungen!	Profitez de vos récompenses spéciales !	Goditi i tuoi premi speciali!	Aproveite suas recompensas especiais!	¡Disfruta de tus recompensas especiales!	Наслаждайтесь своими специальными наградами!	特別な報酬をお楽しみください！	특별 보상을 즐기세요!
MagicPassFinishedPopupInfo1	0	<color=#FFC20F>Magic Pass</color> has ended!\nNew Pass will start  soon!	<color=#FFC20F>Sihirli Bilet</color> sona erdi!\nYeni Geçiş yakında başlayacak!	<color=#FFC20F>Magic Pass</color> is afgelopen!\nEen nieuwe pas begint binnenkort!	<color=#FFC20F>Magic Pass</color> ist beendet!\nEin neuer Pass beginnt bald!	<color=#FFC20F>Magic Pass</color> est terminé !  \nUn nouveau Pass commencera bientôt !	<color=#FFC20F>Magic Pass</color> è terminato!  \nIl nuovo pass inizierà presto!	<color=#FFC20F>Magic Pass</color> terminou!\nUm novo Pass começará em breve!	¡El <color=#FFC20F>Pase Mágico</color> ha terminado!  \n¡Un nuevo Pase comenzará pronto!	<color=#FFC20F>Magic Pass</color> завершился!  \nНовый пропуск начнется совсем скоро!	<color=#FFC20F>マジックパス</color>が終了しました！  \n新しいパスがまもなく開始されます！	<color=#FFC20F>매직 패스</color>가 종료되었습니다!\n곧 새로운 패스가 시작됩니다!
MagicPassFinishedPopupInfo2	0	<color=#FFC20F>Magic Pass</color> has ended!\nYour bonuses are not active anymore.\nNew Pass will start  soon!	<color=#FFC20F>Sihirli Bilet</color> sona erdi!\nBonuslarınız artık aktif değil.\nYeni Bilet yakında başlayacak!	<color=#FFC20F>Magic Pass</color> is afgelopen!  \nJe bonussen zijn niet meer actief.  \nEen nieuwe Pass begint binnenkort!	<color=#FFC20F>Magic Pass</color> ist beendet!  \nDeine Boni sind nicht mehr aktiv.  \nEin neuer Pass wird bald starten!	<color=#FFC20F>Magic Pass</color> est terminé !  \nVos bonus ne sont plus actifs.  \nUn nouveau Pass commencera bientôt !	<color=#FFC20F>Magic Pass</color> è terminato!\nI tuoi bonus non sono più attivi.\nUn nuovo Pass inizierà presto!	<color=#FFC20F>Magic Pass</color> chegou ao fim!\nSeus bônus não estão mais ativos.\nUm novo Pass começará em breve!	¡El <color=#FFC20F>Pase Mágico</color> ha terminado!\nTus bonificaciones ya no están activas.\n¡Un nuevo Pase comenzará pronto!	<color=#FFC20F>Magic Pass</color> завершился!  \nВаши бонусы больше не активны.  \nНовый Pass начнется скоро!	<color=#FFC20F>マジックパス</color>は終了しました！  \nボーナスはもうアクティブではありません。  \n新しいパスがすぐに始まります！	<color=#FFC20F>매직 패스</color>가 종료되었습니다!\n보너스가 더 이상 활성화되지 않습니다.\n새로운 패스가 곧 시작됩니다!
MagicPassInfoPopupDescription	0	<color=#FFC20F>Magic Pass</color> gives you access to\nspecial rewards and upgrades!	<color=#FFC20F>Sihirli Bilet</color> size özel ödüllere\nve yükseltmelere erişim sağlar!	<color=#FFC20F>Magic Pass</color> geeft je toegang\ntot speciale beloningen en upgrades!	<color=#FFC20F>Magic Pass</color> gibt dir Zugang\nzu speziellen Belohnungen und Upgrades!	Le <color=#FFC20F>Magic Pass</color> vous donne accès à\ndes récompenses spéciales et des améliorations !	Il <color=#FFC20F>Magic Pass</color> ti dà accesso a\nricompense speciali e miglioramenti!	<color=#FFC20F>Magic Pass</color> oferece acesso\na recompensas e melhorias especiais!	<color=#FFC20F>Magic Pass</color> te da acceso a\nrecompensas especiales y mejoras.	<color=#FFC20F>Magic Pass</color> предоставляет вам доступ к\nспециальным наградам и улучшениям!	<color=#FFC20F>マジックパス</color>を手に入れると、\n特別な報酬やアップグレードが利用可能になります！	<color=#FFC20F>매직 패스</color>는 특별한\n보상과 업그레이드에 접근할 수 있게 해줍니다!
MagicPassInfoPopupMultipliers1	0	Normal Levels	Normal Bölümler	Normale Levels	Normale Level	Niveaux Normaux	Livelli Normali	Níveis Normais	Niveles Normales	Обычные Уровни	通常レベル	일반 레벨
MagicPassInfoPopupMultipliers2	0	Hard Levels	Zor Bölümler	Moeilijke Levels	Schwierige Levels	Niveaux Difficiles	Livelli Difficili	Níveis Difíceis	Niveles Difíciles	Сложные уровни	難易度の高いレベル	어려운 레벨
MagicPassInfoPopupMultipliers3	0	Super Hard Levels	Çok Zor Bölümler	Super moeilijke levels	Super-Schwere Level	Niveaux Super Difficiles	Livelli Super Difficili	Níveis Super Difíceis	Niveles Súper Difíciles	Суперсложные уровни	スーパーハードレベル	슈퍼 하드 레벨
MagicPassInfoPopupMultipliersHeader	0	Key Multipliers	Anahtar Çarpanları	Sleutelvermenigvuldigers	Multiplikatoren der Schlüssel	Multiplicateurs Clés	Moltiplicatori Chiave	Multiplicadores Chave	Multiplicadores Clave	Ключевые Множители	キー乗数	주요 배수
MagicPassInfoPopupStep1	0	Beat Levels	Bölümleri Geç	Voltooi Levels	Schließe Level ab	Terminez les niveaux	Supera i livelli	Complete os Níveis	Supera Niveles	Пройди уровни	レベルをクリア	레벨 완료하기
